timestamp,event_type,ear,perclos,fatigue_score,blink_count,yawn_count
2026-03-23T16:24:01.917813,warning,0.17890643719550245,0.9966,60.1,46,0
2026-03-23T16:24:02.088533,critical,0.11718512832665763,0.9966,71.2,46,0
2026-03-23T16:24:02.264085,warning,0.154711740972225,0.9966,65.8,46,0
2026-03-23T16:24:02.443726,warning,0.15832156454513346,0.9966,65.2,46,0
2026-03-23T16:24:02.598631,warning,0.19886823037013554,0.9966,53.5,46,0
2026-03-23T16:24:02.733549,critical,0.14306521797150537,0.9966,71.6,46,0
2026-03-23T16:24:02.865704,warning,0.19344415597855458,0.9966,55.1,46,0
2026-03-23T16:24:03.038151,critical,0.14944133990447517,0.9966,70.2,46,0
2026-03-23T16:24:03.226556,warning,0.18769408695018674,0.9966,54.4,46,0
2026-03-23T16:24:03.416615,warning,0.19003288361484083,0.9966,58.1,46,0
2026-03-23T16:24:03.633279,warning,0.19361494343924374,0.9966,54.6,46,0
2026-03-23T16:24:03.838171,warning,0.21071042565886167,0.9966,51.4,46,0
2026-03-23T16:24:04.036143,warning,0.190713245949727,0.9966,56.6,46,0
2026-03-23T16:24:04.227099,warning,0.20588126699961823,0.9966,49.0,46,0
2026-03-23T16:24:04.430220,warning,0.13709758557318263,0.9966,68.9,46,0
2026-03-23T16:24:04.652420,warning,0.20373479934947997,0.9966,51.7,46,0
2026-03-23T16:24:04.876107,warning,0.19380419233505797,0.9967,52.7,46,0
2026-03-23T16:24:05.082925,critical,0.12141667773373462,0.9967,72.9,46,0
2026-03-23T16:24:05.295199,warning,0.0857165852247381,0.9967,69.2,46,0
2026-03-23T16:24:05.516213,warning,0.14881942469966813,0.9967,65.6,46,0
2026-03-23T16:24:05.740234,warning,0.20200608431531422,0.9967,49.8,46,0
2026-03-23T16:24:06.101818,warning,0.19567587388295876,0.9967,50.4,46,0
2026-03-23T16:24:06.334065,warning,0.19973669781500522,0.9967,49.5,46,0
2026-03-23T16:24:06.624396,warning,0.17796499258614448,0.9967,56.6,46,0
2026-03-23T16:24:06.866755,warning,0.1894085381454697,0.9967,57.4,46,0
2026-03-23T16:24:07.072552,warning,0.1932511185600751,0.9967,55.7,46,0
2026-03-23T16:24:07.276670,warning,0.20297999570604164,0.9967,52.7,46,0
2026-03-23T16:24:07.471320,warning,0.20249042777630472,0.9967,52.6,46,0
2026-03-23T16:24:07.650243,warning,0.20604367781749813,0.9967,53.4,46,0
2026-03-23T16:24:07.864170,warning,0.19784684187251572,0.9967,52.9,46,0
2026-03-23T16:24:08.031081,warning,0.14570365860917095,0.9967,64.7,46,0
2026-03-23T16:24:08.183401,warning,0.0980266157042807,0.9967,66.7,46,0
2026-03-23T16:24:08.326728,warning,0.08689145263796719,0.9967,67.2,46,0
2026-03-23T16:24:08.458452,critical,0.07674823962448579,0.9967,72.8,46,0
2026-03-23T16:24:08.608698,warning,0.09249339197960578,0.9968,67.1,46,0
2026-03-23T16:24:08.729808,warning,0.17062148777350983,0.9968,60.7,46,0
2026-03-23T16:24:08.863220,warning,0.2131478582162633,0.9968,50.2,46,0
2026-03-23T16:24:09.023204,warning,0.1934210626607194,0.9968,54.9,46,0
2026-03-23T16:24:09.191958,warning,0.18461293293015457,0.9968,56.4,46,0
2026-03-23T16:24:09.392525,warning,0.18788755416090822,0.9968,54.8,46,0
2026-03-23T16:24:09.582841,warning,0.22121051083254517,0.9968,47.4,46,0
2026-03-23T16:24:09.759179,warning,0.21527705555225868,0.9968,48.1,46,0
2026-03-23T16:24:09.940341,warning,0.22570439457948194,0.9968,46.0,46,0
2026-03-23T16:24:10.122348,warning,0.23240538142276934,0.9968,43.6,46,0
2026-03-23T16:24:10.269835,warning,0.2263633444788622,0.9968,43.1,46,0
2026-03-23T16:24:10.429609,warning,0.20865426338745757,0.9968,48.0,46,0
2026-03-23T16:24:10.578304,warning,0.2236551983533625,0.9968,45.1,46,0
2026-03-23T16:24:10.760459,warning,0.22334138167432827,0.9968,44.6,46,0
2026-03-23T16:24:10.911922,warning,0.2053212476887754,0.9968,49.7,46,0
2026-03-23T16:24:11.071047,warning,0.23286624336792,0.9968,40.6,46,0
2026-03-23T16:24:11.218338,warning,0.2024646296966532,0.9968,49.0,46,0
2026-03-23T16:24:11.403051,warning,0.21432345788282692,0.9968,45.5,46,0
2026-03-23T16:24:11.576740,warning,0.2212297652820871,0.9968,44.1,46,0
2026-03-23T16:24:11.768176,warning,0.2382873575937497,0.9969,40.9,46,0
2026-03-23T16:24:11.950489,warning,0.23757206261688743,0.9969,40.2,46,0
2026-03-23T16:24:12.208494,warning,0.23888311602810824,0.9969,40.3,46,0
2026-03-23T16:24:12.379139,warning,0.24485330008946868,0.9969,40.7,46,0
2026-03-23T16:24:12.536853,warning,0.22567394691152431,0.9969,44.0,46,0
2026-03-23T16:24:12.686925,warning,0.24194013054666585,0.9969,40.9,46,0
2026-03-23T16:24:12.835976,warning,0.24107599890335196,0.9969,41.1,46,0
2026-03-23T16:24:13.013867,warning,0.2301905201209885,0.9969,41.7,46,0
2026-03-23T16:24:13.164283,warning,0.2174495739589596,0.9969,46.1,46,0
2026-03-23T16:24:13.319574,warning,0.2337267258754771,0.9969,41.9,46,0
2026-03-23T16:24:13.549535,warning,0.24431679424397496,0.9969,40.9,46,0
2026-03-23T16:24:13.754349,warning,0.24892891415938107,0.9969,40.7,46,0
2026-03-23T16:24:13.994999,warning,0.09837844726987137,0.9969,66.3,46,0
2026-03-23T16:24:14.263037,warning,0.2633203193462469,0.9969,41.3,47,0
2026-03-23T16:24:14.471008,warning,0.25629610516048545,0.9969,43.2,47,0
2026-03-23T16:24:14.655096,warning,0.2423580498223758,0.9969,44.6,47,0
2026-03-23T16:24:14.944054,warning,0.2387145998642678,0.9969,43.5,47,0
2026-03-23T16:24:15.191245,warning,0.23040943636013736,0.9969,43.5,47,0
2026-03-23T16:24:15.470683,warning,0.22921837444850068,0.9969,46.0,47,0
2026-03-23T16:24:15.683543,warning,0.21709757890863024,0.9969,49.4,47,0
2026-03-23T16:24:15.861899,warning,0.21723407464196612,0.9969,50.1,47,0
2026-03-23T16:24:16.015514,warning,0.22384520813647674,0.997,47.4,47,0
2026-03-23T16:24:16.165621,warning,0.24747833900435826,0.997,44.6,47,0
2026-03-23T16:24:16.320000,warning,0.22655675126886177,0.997,45.2,47,0
2026-03-23T16:24:16.460519,warning,0.23898885891520377,0.997,42.7,47,0
2026-03-23T16:24:16.637867,warning,0.23595664094227786,0.997,44.3,47,0
2026-03-23T16:24:16.804896,warning,0.23120582107826151,0.997,45.0,47,0
2026-03-23T16:24:16.979917,warning,0.23051348909641106,0.997,45.4,47,0
2026-03-23T16:24:17.134152,warning,0.22693352332063912,0.997,47.2,47,0
2026-03-23T16:24:17.343790,warning,0.22887505835184135,0.997,45.5,47,0
2026-03-23T16:24:17.602697,warning,0.22338062900768485,0.997,46.2,47,0
2026-03-23T16:24:17.902499,warning,0.1900270761975223,0.997,56.8,47,0
2026-03-23T16:24:18.163237,warning,0.2252864602042524,0.997,48.4,47,0
2026-03-23T16:24:18.511698,warning,0.2322733653407532,0.997,44.1,47,0
2026-03-23T16:24:18.766698,warning,0.24913868190054086,0.997,42.2,47,0
2026-03-23T16:24:19.042934,warning,0.23462876592006465,0.997,42.5,47,0
2026-03-23T16:24:19.270099,warning,0.20253195718144446,0.997,49.8,47,0
2026-03-23T16:24:19.481072,warning,0.20774894157000584,0.997,49.8,47,0
2026-03-23T16:24:19.689563,warning,0.20707888602376032,0.997,50.5,47,0
2026-03-23T16:24:19.892886,warning,0.2232810154474898,0.997,45.7,47,0
2026-03-23T16:24:20.068396,warning,0.1964772167147995,0.997,52.3,47,0
2026-03-23T16:24:20.259564,warning,0.2099672030755827,0.997,49.0,47,0
2026-03-23T16:24:20.500144,warning,0.195574490344262,0.997,53.1,47,0
2026-03-23T16:24:20.728397,warning,0.21166782454456784,0.9971,48.3,47,0
2026-03-23T16:24:20.948048,warning,0.19551957309692136,0.9971,53.2,47,0
2026-03-23T16:24:21.195613,warning,0.21082357631802595,0.9971,49.8,47,0
2026-03-23T16:24:21.420232,warning,0.1852352866932062,0.9971,55.7,47,0
2026-03-23T16:24:21.682172,warning,0.17463306045440063,0.9971,58.8,47,0
2026-03-23T16:24:21.964944,warning,0.2110615781585148,0.9971,50.3,47,0
2026-03-23T16:24:22.302013,warning,0.20194018309755368,0.9971,51.9,47,0
2026-03-23T16:24:22.745949,warning,0.1960624757961462,0.9971,53.6,47,0
